Date,10TC_SCURMON,10TC_S+1MON,10TC_S+2MON,10TC_S+3MON,10TC_S+4MON,10TC_S+5MON,10TC_SCURQ,10TC_S+1Q,10TC_S+2Q,10TC_S+3Q,10TC_S+4Q,10TC_S+1CAL,10TC_S+2CAL,10TC_S+3CAL,10TC_S+4CAL,10TC_S+5CAL,10TC_S+6CAL,10TC_S+7CAL
2015-07-31,,,,,,,,,,,,,,,,,,
2015-08-03,,,,,,,,,,,,,,,,,,
2015-08-04,,,,,,,,,,,,,,,,,,
2015-08-05,,,,,,,,,,,,,,,,,,
2015-08-06,,,,,,,,,,,,,,,,,,
2015-08-07,,,,,,,,,,,,,,,,,,
2015-08-10,,,,,,,,,,,,,,,,,,
2015-08-11,,,,,,,,,,,,,,,,,,
2015-08-12,,,,,,,,,,,,,,,,,,
2015-08-13,,,,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,,,,,,,,,,
2015-08-18,,,,,,,,,,,,,,,,,,
2015-08-19,,,,,,,,,,,,,,,,,,
2015-08-20,,,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,,,,,,,,
2015-08-25,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,,,,,,
2015-09-02,,,,,,,,,,,,,,,,,,
2015-09-03,,,,,,,,,,,,,,,,,,
2015-09-04,,,,,,,,,,,,,,,,,,
2015-09-07,,,,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,,,,,,,,,
2015-09-09,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,,,,
2015-09-15,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,,,,,
2015-10-02,,,,,,,,,,,,,,,,,,
2015-10-05,,,,,,,,,,,,,,,,,,
2015-10-06,,,,,,,,,,,,,,,,,,
2015-10-07,,,,,,,,,,,,,,,,,,
2015-10-08,,,,,,,,,,,,,,,,,,
2015-10-09,,,,,,,,,,,,,,,,,,
2015-10-12,,,,,,,,,,,,,,,,,,
2015-10-13,,,,,,,,,,,,,,,,,,
2015-10-14,,,,,,,,,,,,,,,,,,
2015-10-15,,,,,,,,,,,,,,,,,,
2015-10-16,,,,,,,,,,,,,,,,,,
2015-10-19,,,,,,,,,,,,,,,,,,
2015-10-20,,,,,,,,,,,,,,,,,,
2015-10-21,,,,,,,,,,,,,,,,,,
2015-10-22,,,,,,,,,,,,,,,,,,
2015-10-23,,,,,,,,,,,,,,,,,,
2015-10-26,,,,,,,,,,,,,,,,,,
2015-10-27,,,,,,,,,,,,,,,,,,
2015-10-28,,,,,,,,,,,,,,,,,,
2015-10-29,,,,,,,,,,,,,,,,,,
2015-10-30,,,,,,,,,,,,,,,,,,
2015-11-02,,,,,,,,,,,,,,,,,,
2015-11-03,,,,,,,,,,,,,,,,,,
2015-11-04,,,,,,,,,,,,,,,,,,
2015-11-05,,,,,,,,,,,,,,,,,,
2015-11-06,,,,,,,,,,,,,,,,,,
2015-11-09,,,,,,,,,,,,,,,,,,
2015-11-10,,,,,,,,,,,,,,,,,,
2015-11-11,,,,,,,,,,,,,,,,,,
2015-11-12,,,,,,,,,,,,,,,,,,
2015-11-13,,,,,,,,,,,,,,,,,,
2015-11-16,,,,,,,,,,,,,,,,,,
2015-11-17,,,,,,,,,,,,,,,,,,
2015-11-18,,,,,,,,,,,,,,,,,,
2015-11-19,,,,,,,,,,,,,,,,,,
2015-11-20,,,,,,,,,,,,,,,,,,
2015-11-23,,,,,,,,,,,,,,,,,,
2015-11-24,,,,,,,,,,,,,,,,,,
2015-11-25,,,,,,,,,,,,,,,,,,
2015-11-26,,,,,,,,,,,,,,,,,,
2015-11-27,,,,,,,,,,,,,,,,,,
2015-11-30,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,,,,,,
2015-12-02,,,,,,,,,,,,,,,,,,
2015-12-03,,,,,,,,,,,,,,,,,,
2015-12-04,,,,,,,,,,,,,,,,,,
2015-12-07,,,,,,,,,,,,,,,,,,
2015-12-08,,,,,,,,,,,,,,,,,,
2015-12-09,,,,,,,,,,,,,,,,,,
2015-12-10,,,,,,,,,,,,,,,,,,
2015-12-11,,,,,,,,,,,,,,,,,,
2015-12-14,,,,,,,,,,,,,,,,,,
2015-12-15,,,,,,,,,,,,,,,,,,
2015-12-16,,,,,,,,,,,,,,,,,,
2015-12-17,,,,,,,,,,,,,,,,,,
2015-12-18,,,,,,,,,,,,,,,,,,
2015-12-21,,,,,,,,,,,,,,,,,,
2015-12-22,,,,,,,,,,,,,,,,,,
2015-12-23,,,,,,,,,,,,,,,,,,
2015-12-24,,,,,,,,,,,,,,,,,,
2016-01-04,,,,,,,,,,,,,,,,,,
2016-01-05,,,,,,,,,,,,,,,,,,
2016-01-06,,,,,,,,,,,,,,,,,,
2016-01-07,,,,,,,,,,,,,,,,,,
2016-01-08,,,,,,,,,,,,,,,,,,
2016-01-11,,,,,,,,,,,,,,,,,,
2016-01-12,,,,,,,,,,,,,,,,,,
2016-01-13,,,,,,,,,,,,,,,,,,
2016-01-14,,,,,,,,,,,,,,,,,,
2016-01-15,,,,,,,,,,,,,,,,,,
2016-01-18,,,,,,,,,,,,,,,,,,
2016-01-19,,,,,,,,,,,,,,,,,,
2016-01-20,,,,,,,,,,,,,,,,,,
2016-01-21,,,,,,,,,,,,,,,,,,
2016-01-22,,,,,,,,,,,,,,,,,,
2016-01-25,,,,,,,,,,,,,,,,,,
2016-01-26,,,,,,,,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,,,,,,,,
2016-02-02,,,,,,,,,,,,,,,,,,
2016-02-03,,,,,,,,,,,,,,,,,,
2016-02-04,,,,,,,,,,,,,,,,,,
2016-02-05,,,,,,,,,,,,,,,,,,
2016-02-08,,,,,,,,,,,,,,,,,,
2016-02-09,,,,,,,,,,,,,,,,,,
2016-02-10,,,,,,,,,,,,,,,,,,
2016-02-11,,,,,,,,,,,,,,,,,,
2016-02-12,,,,,,,,,,,,,,,,,,
2016-02-15,,,,,,,,,,,,,,,,,,
2016-02-16,,,,,,,,,,,,,,,,,,
2016-02-17,,,,,,,,,,,,,,,,,,
2016-02-18,,,,,,,,,,,,,,,,,,
2016-02-19,,,,,,,,,,,,,,,,,,
2016-02-22,,,,,,,,,,,,,,,,,,
2016-02-23,,,,,,,,,,,,,,,,,,
2016-02-24,,,,,,,,,,,,,,,,,,
2016-02-25,,,,,,,,,,,,,,,,,,
2016-02-26,,,,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,,,,,,,
2016-03-02,,,,,,,,,,,,,,,,,,
2016-03-03,,,,,,,,,,,,,,,,,,
2016-03-04,,,,,,,,,,,,,,,,,,
2016-03-07,,,,,,,,,,,,,,,,,,
2016-03-08,,,,,,,,,,,,,,,,,,
2016-03-09,,,,,,,,,,,,,,,,,,
2016-03-10,,,,,,,,,,,,,,,,,,
2016-03-11,,,,,,,,,,,,,,,,,,
2016-03-14,,,,,,,,,,,,,,,,,,
2016-03-15,,,,,,,,,,,,,,,,,,
2016-03-16,,,,,,,,,,,,,,,,,,
2016-03-17,,,,,,,,,,,,,,,,,,
2016-03-18,,,,,,,,,,,,,,,,,,
2016-03-21,,,,,,,,,,,,,,,,,,
2016-03-22,,,,,,,,,,,,,,,,,,
2016-03-23,,,,,,,,,,,,,,,,,,
2016-03-24,,,,,,,,,,,,,,,,,,
2016-03-29,,,,,,,,,,,,,,,,,,
2016-03-30,,,,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,,,,,,,,
2016-04-04,,,,,,,,,,,,,,,,,,
2016-04-05,,,,,,,,,,,,,,,,,,
2016-04-06,,,,,,,,,,,,,,,,,,
2016-04-07,,,,,,,,,,,,,,,,,,
2016-04-08,,,,,,,,,,,,,,,,,,
2016-04-11,,,,,,,,,,,,,,,,,,
2016-04-12,,,,,,,,,,,,,,,,,,
2016-04-13,,,,,,,,,,,,,,,,,,
2016-04-14,,,,,,,,,,,,,,,,,,
2016-04-15,,,,,,,,,,,,,,,,,,
2016-04-18,,,,,,,,,,,,,,,,,,
2016-04-19,,,,,,,,,,,,,,,,,,
2016-04-20,,,,,,,,,,,,,,,,,,
